ID,Название (Title):,Описание( Summary):,Приоритет (Priority),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):,Фактический результат
1,Авторизация зарегистрированного пользователя,Авторизация зарегистрированного пользователя,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные зарегистрированного пользователя
3. Ввести в поле Пароль данные зарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Открыта главная страница приложения",Success
2,Авторизация незарегистрированного пользователя,Авторизация незарегистрированного пользователя,High,"1. Открыть приложение ""Хоспис"" 
2. Ввести в поле Логин данные незарегистрированного пользователя 
3. Ввести в поле Пароль данные незарегистрированного пользователя 
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации 
2. Поле заполнено 
3. Поле заполнено 
4. Появилось сообщение об ошибке",Success
3,Авторизация с неверным логином и верным паролем,Авторизация с неверным логином и верным паролем,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные незарегистрированного пользователя
3. Ввести в поле Пароль данные зарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
4,Авторизация с верным логином и неверным паролем,Авторизация с верным логином и неверным паролем,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные зарегистрированного пользователя
3. Ввести в поле Пароль данные незарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
5,Авторизация с пустыми полями,Авторизация с пустыми полями,High,"1. Открыть приложение ""Хоспис""
2. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Появилось сообщение об ошибке",Success
6,Ввод SQL-инъекции в поле логина,Ввод SQL-инъекции в поле логина,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин '1'='1
3. Ввести в поле Пароль данные зарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
7,Ввод SQL-инъекции в поле пароля,Ввод SQL-инъекции в поле пароля,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные зарегистрированного пользователя
3. Ввести в поле Пароль '1'='1
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
8,Навигация по разделам,Общая навигация по разделам приложения,High,"1. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Новости
2. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать О приложении
3. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Главная
4. Тапнуть на иконку Главное - жить любя","1. Открылся раздел Новости
2. Открылся раздел О приложении
3. Открылся раздел Главная
4. Открылся раздел Главное - жить любя",Success
9,"Сворачивание и разворачивание общего списка ""Новости"" в разделе ""Главная""","Сворачивание и разворачивание общего списка ""Новости"" в разделе ""Главная""",High,"1. На главной странице приложения свернуть все новости (тапнуть на кнопку сворачивания)
2. На главной странице приложения развернуть все новости (тапнуть на кнопку разворачивания)","1. Все новости свернулись
2. Все новости отображаются на текущую дату",Success
10,"Переход в раздел  ""Новости"" с главной страницы","Нажатие кнопки ""ВСЕ НОВОСТИ"" на главной странице приложения  и переход в раздел ""Новости""",High,1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости,"1. Раздел Новости открылся, виден список новостей на текущую дату",Success
